Cidade,Área,Quartos,Banheiros,Garagem,Andar,Animal,Mobília
São Paulo,400,4,4,4,-,acept,not furnished
São Paulo,100,3,1,0,1,acept,not furnished
Porto Alegre,111,2,2,0,15,acept,not furnished
Belo Horizonte,70,2,2,2,5,acept,not furnished
Porto Alegre,179,3,2,2,-,acept,furnished
Rio de Janeiro,140,3,2,2,1,acept,not furnished
São Paulo,260,3,4,2,-,acept,not furnished
Belo Horizonte,268,4,2,4,1,not acept,not furnished
Belo Horizonte,70,3,2,1,2,acept,not furnished
Rio de Janeiro,50,1,1,1,2,acept,not furnished
Belo Horizonte,470,5,4,2,-,acept,not furnished
São Paulo,142,3,4,3,13,acept,not furnished
São Paulo,80,1,2,2,5,acept,not furnished
São Paulo,100,3,3,3,-,not acept,not furnished
Porto Alegre,47,1,1,1,1,not acept,furnished
Campinas,180,3,4,4,-,acept,not furnished
Porto Alegre,180,4,1,1,-,acept,not furnished
São Paulo,72,1,1,1,-,not acept,furnished
São Paulo,90,2,2,1,-,acept,not furnished
Campinas,49,1,1,0,3,acept,not furnished
Porto Alegre,282,4,2,4,-,acept,furnished
São Paulo,114,4,4,2,6,acept,not furnished
São Paulo,170,3,3,2,8,acept,not furnished
São Paulo,200,3,2,3,-,acept,not furnished
São Paulo,130,4,4,3,2,acept,not furnished
Belo Horizonte,300,3,4,4,-,acept,not furnished
São Paulo,40,1,2,1,28,not acept,furnished
São Paulo,45,1,1,0,2,not acept,not furnished
São Paulo,245,3,5,4,3,acept,furnished
São Paulo,155,2,3,2,-,acept,not furnished
Belo Horizonte,300,3,3,4,-,acept,not furnished
Campinas,438,5,4,0,-,acept,not furnished
Rio de Janeiro,30,1,1,0,4,not acept,furnished
São Paulo,125,2,2,1,-,acept,furnished
Campinas,76,1,2,0,1,acept,not furnished
São Paulo,58,2,2,2,2,acept,not furnished
São Paulo,140,3,2,2,-,acept,not furnished
São Paulo,49,2,1,1,1,acept,not furnished
Porto Alegre,45,1,1,0,11,acept,not furnished
São Paulo,350,4,6,4,-,acept,not furnished
São Paulo,35,1,1,0,4,acept,not furnished
Rio de Janeiro,100,3,1,1,-,acept,not furnished
Porto Alegre,86,2,2,2,3,acept,not furnished
Campinas,58,1,1,1,6,acept,not furnished
São Paulo,40,1,1,0,-,not acept,not furnished
Porto Alegre,62,3,2,1,2,acept,furnished
Belo Horizonte,95,3,2,2,10,acept,not furnished
São Paulo,52,1,1,1,11,acept,not furnished
São Paulo,80,2,1,0,-,acept,not furnished
Belo Horizonte,300,4,4,4,-,acept,not furnished
São Paulo,70,2,2,0,6,acept,not furnished
Porto Alegre,130,3,3,1,6,acept,not furnished
Campinas,39,1,1,1,1,not acept,furnished
Belo Horizonte,73,2,1,1,11,acept,furnished
São Paulo,68,2,1,1,15,acept,not furnished
Campinas,80,2,1,0,-,acept,not furnished
São Paulo,30,1,1,1,15,acept,not furnished
Rio de Janeiro,450,4,5,1,-,acept,not furnished
São Paulo,270,3,4,2,11,acept,not furnished
São Paulo,146,3,4,4,15,acept,not furnished
Rio de Janeiro,100,3,1,0,2,acept,not furnished
Campinas,60,2,1,1,2,acept,not furnished
São Paulo,55,2,1,1,7,not acept,not furnished
Rio de Janeiro,140,4,2,1,1,not acept,not furnished
Campinas,40,1,1,1,6,acept,not furnished
Belo Horizonte,20,1,1,1,-,acept,furnished
Porto Alegre,30,1,1,0,-,not acept,not furnished
São Paulo,68,2,2,2,12,not acept,not furnished
Campinas,35,1,1,1,11,acept,not furnished
São Paulo,190,4,4,3,11,acept,furnished
São Paulo,700,4,10,0,-,acept,not furnished
Rio de Janeiro,45,1,1,0,1,acept,not furnished
São Paulo,311,3,6,4,23,not acept,furnished
Porto Alegre,110,2,1,0,-,acept,not furnished
Campinas,330,3,3,2,10,not acept,not furnished
São Paulo,75,3,1,1,2,acept,furnished
Porto Alegre,50,1,1,0,2,acept,furnished
São Paulo,460,4,4,6,-,acept,not furnished
Porto Alegre,52,2,1,0,4,acept,not furnished
São Paulo,155,3,4,2,14,acept,not furnished
Belo Horizonte,55,2,1,1,1,acept,not furnished
Rio de Janeiro,74,2,1,0,11,acept,not furnished
São Paulo,26,1,1,1,3,acept,furnished
São Paulo,80,2,1,0,1,acept,furnished
São Paulo,450,4,5,5,-,not acept,not furnished
Campinas,150,2,2,1,-,acept,not furnished
São Paulo,135,3,2,2,9,acept,not furnished
Belo Horizonte,140,4,3,4,9,acept,not furnished
Campinas,76,3,1,1,2,acept,not furnished
São Paulo,450,4,3,6,-,acept,not furnished
Belo Horizonte,38,1,1,0,2,not acept,not furnished
São Paulo,56,2,2,1,4,acept,not furnished
Rio de Janeiro,30,1,1,0,8,not acept,furnished
São Paulo,260,2,2,2,-,not acept,not furnished
Porto Alegre,77,3,2,1,2,not acept,not furnished
Rio de Janeiro,290,4,3,1,6,acept,not furnished
Belo Horizonte,22,1,1,1,1,not acept,furnished
Rio de Janeiro,47,2,1,0,4,acept,not furnished
São Paulo,80,2,2,1,7,acept,not furnished
São Paulo,244,4,3,4,2,acept,furnished
Campinas,45,1,1,0,9,acept,not furnished
Belo Horizonte,85,3,2,2,3,not acept,not furnished
São Paulo,98,3,2,2,3,acept,not furnished
São Paulo,100,2,1,1,-,not acept,not furnished
Rio de Janeiro,120,3,2,0,2,acept,not furnished
São Paulo,190,3,2,1,8,acept,furnished
São Paulo,500,4,4,4,-,acept,not furnished
São Paulo,105,3,2,2,1,acept,furnished
Campinas,50,2,1,1,3,acept,not furnished
São Paulo,126,4,3,2,4,not acept,not furnished
São Paulo,74,2,3,1,2,acept,not furnished
Rio de Janeiro,130,3,3,2,3,acept,furnished
São Paulo,140,2,1,1,6,not acept,furnished
Porto Alegre,160,3,2,2,-,acept,not furnished
São Paulo,250,3,4,3,4,acept,not furnished
Rio de Janeiro,90,2,2,1,4,acept,not furnished
São Paulo,35,1,1,0,6,acept,furnished
Rio de Janeiro,144,4,2,2,4,acept,not furnished
Rio de Janeiro,170,3,1,1,10,acept,furnished
Rio de Janeiro,65,2,1,1,7,acept,not furnished
Porto Alegre,80,2,1,0,-,acept,not furnished
São Paulo,20,1,1,0,4,not acept,furnished
São Paulo,79,2,2,2,18,not acept,furnished
São Paulo,70,2,1,0,1,acept,not furnished
São Paulo,30,1,1,0,9,not acept,furnished
São Paulo,250,3,5,3,4,acept,not furnished
Porto Alegre,50,1,1,0,2,acept,furnished
São Paulo,116,3,2,2,5,acept,not furnished
São Paulo,216,4,3,4,28,not acept,not furnished
São Paulo,290,3,5,4,8,acept,furnished
São Paulo,300,5,6,6,-,acept,not furnished
São Paulo,245,4,3,4,8,acept,not furnished
Belo Horizonte,150,4,2,3,18,not acept,furnished
São Paulo,130,3,4,2,11,not acept,not furnished
São Paulo,112,1,2,3,-,acept,not furnished
São Paulo,78,2,2,1,8,acept,not furnished
Rio de Janeiro,15,1,1,0,-,acept,not furnished
São Paulo,84,2,1,2,11,not acept,furnished
Rio de Janeiro,23,1,1,0,8,not acept,not furnished
Belo Horizonte,174,3,1,0,-,not acept,not furnished
São Paulo,104,1,3,2,14,not acept,not furnished
Porto Alegre,63,1,1,0,3,acept,not furnished
São Paulo,51,2,1,1,7,acept,not furnished
Rio de Janeiro,70,2,2,1,4,acept,not furnished
Belo Horizonte,150,4,4,2,12,acept,not furnished
Rio de Janeiro,90,2,2,1,8,acept,not furnished
Rio de Janeiro,80,2,2,1,2,acept,furnished
Porto Alegre,60,1,1,1,4,not acept,not furnished
Belo Horizonte,85,3,2,1,2,not acept,not furnished
São Paulo,70,2,1,0,24,not acept,furnished
Rio de Janeiro,50,1,1,0,2,not acept,not furnished
São Paulo,38,1,1,0,6,acept,not furnished
Porto Alegre,147,3,3,3,-,acept,not furnished
Porto Alegre,222,3,2,2,3,not acept,furnished
São Paulo,185,4,4,4,8,acept,not furnished
Campinas,284,3,5,6,-,acept,not furnished
São Paulo,45,2,1,1,6,not acept,not furnished
Rio de Janeiro,290,3,3,1,9,acept,not furnished
São Paulo,74,3,2,2,15,acept,not furnished
Campinas,115,3,2,2,15,acept,not furnished
Porto Alegre,37,1,1,0,4,acept,not furnished
Belo Horizonte,650,7,6,3,-,acept,not furnished
São Paulo,30,1,1,0,1,not acept,not furnished
São Paulo,87,1,1,2,14,acept,furnished
São Paulo,553,5,6,5,15,acept,furnished
São Paulo,250,3,4,4,16,acept,not furnished
São Paulo,600,4,5,6,-,acept,not furnished
São Paulo,250,3,3,3,-,acept,not furnished
São Paulo,30,1,1,1,16,acept,not furnished
Belo Horizonte,62,3,1,1,2,not acept,not furnished
Rio de Janeiro,115,2,2,2,1,acept,not furnished
Rio de Janeiro,130,3,1,0,4,acept,not furnished
São Paulo,35,1,1,0,15,acept,not furnished
Belo Horizonte,350,4,3,3,9,not acept,not furnished
São Paulo,100,3,2,0,-,not acept,not furnished
Campinas,85,3,2,2,9,acept,not furnished
São Paulo,60,1,1,1,-,acept,not furnished
Campinas,197,3,3,2,8,acept,not furnished
São Paulo,177,4,5,4,12,acept,not furnished
Rio de Janeiro,96,2,1,0,8,acept,furnished
São Paulo,48,1,1,0,-,not acept,not furnished
São Paulo,678,5,6,4,-,acept,not furnished
Rio de Janeiro,126,2,2,1,5,acept,not furnished
São Paulo,130,3,3,1,6,acept,not furnished
Campinas,113,2,1,1,8,acept,not furnished
São Paulo,380,3,4,2,-,acept,not furnished
São Paulo,80,1,1,1,10,acept,not furnished
São Paulo,20,1,1,0,-,acept,furnished
São Paulo,32,1,1,1,15,acept,not furnished
São Paulo,420,4,6,4,8,acept,not furnished
São Paulo,500,8,5,2,-,acept,not furnished
São Paulo,33,1,1,1,12,acept,furnished
São Paulo,700,4,6,6,-,acept,not furnished
São Paulo,50,1,1,1,-,acept,not furnished
Porto Alegre,70,2,2,0,4,acept,not furnished
Belo Horizonte,332,3,2,8,-,not acept,not furnished
Rio de Janeiro,83,2,3,2,4,acept,furnished
Campinas,62,2,2,2,5,acept,not furnished
São Paulo,30,1,1,0,12,acept,furnished
São Paulo,240,4,6,4,2,not acept,not furnished
São Paulo,27,1,1,0,-,not acept,not furnished
Rio de Janeiro,87,3,2,1,3,acept,not furnished
Porto Alegre,238,3,3,3,2,acept,furnished
Rio de Janeiro,68,2,1,0,3,acept,not furnished
Rio de Janeiro,30,1,1,0,19,acept,not furnished
Rio de Janeiro,24,1,1,0,5,acept,furnished
São Paulo,80,3,2,1,1,not acept,not furnished
Belo Horizonte,70,3,1,1,3,acept,not furnished
São Paulo,250,4,3,2,-,not acept,not furnished
Belo Horizonte,83,3,3,2,5,acept,furnished
Porto Alegre,339,3,5,4,11,acept,furnished
Campinas,75,2,1,1,-,acept,not furnished
São Paulo,154,4,3,3,4,acept,not furnished
Rio de Janeiro,80,2,2,1,5,acept,not furnished
Porto Alegre,156,3,1,0,2,acept,not furnished
São Paulo,190,3,4,3,2,acept,not furnished
São Paulo,200,3,2,2,-,acept,not furnished
Belo Horizonte,600,3,5,8,-,acept,not furnished
Belo Horizonte,57,3,2,1,2,acept,not furnished
Belo Horizonte,110,3,2,2,3,not acept,furnished
São Paulo,240,3,4,5,9,acept,not furnished
São Paulo,40,1,1,1,9,not acept,not furnished
Campinas,160,3,2,2,12,acept,not furnished
São Paulo,120,3,2,2,1,acept,not furnished
Campinas,51,1,1,1,1,acept,not furnished
Porto Alegre,55,1,1,1,3,acept,not furnished
São Paulo,820,4,4,5,-,acept,not furnished
São Paulo,168,3,4,2,9,acept,not furnished
Porto Alegre,68,1,2,1,4,acept,furnished
São Paulo,260,4,4,6,22,acept,furnished
São Paulo,93,2,2,1,8,acept,not furnished
São Paulo,73,2,2,1,13,acept,not furnished
São Paulo,182,3,3,5,-,acept,not furnished
Rio de Janeiro,215,3,2,0,5,acept,not furnished
São Paulo,280,3,3,4,-,acept,not furnished
Rio de Janeiro,68,2,1,1,5,acept,not furnished
São Paulo,76,1,2,1,4,acept,furnished
São Paulo,156,3,4,3,4,acept,not furnished
Porto Alegre,271,4,3,1,7,acept,not furnished
Campinas,297,4,6,2,3,acept,not furnished
São Paulo,73,2,1,1,8,acept,not furnished
São Paulo,350,3,4,5,-,acept,not furnished
São Paulo,100,2,3,3,-,acept,furnished
São Paulo,100,3,2,0,3,not acept,not furnished
Campinas,180,3,4,4,-,acept,not furnished
São Paulo,350,7,4,2,-,acept,not furnished
Porto Alegre,40,1,1,0,7,acept,not furnished
Rio de Janeiro,106,3,2,1,5,acept,not furnished
São Paulo,63,2,2,1,19,acept,furnished
Rio de Janeiro,200,4,3,2,6,acept,furnished
Rio de Janeiro,65,2,2,0,1,acept,not furnished
Rio de Janeiro,25,1,1,0,4,acept,furnished
São Paulo,95,3,2,2,5,acept,not furnished
São Paulo,36,1,1,1,8,acept,furnished
Rio de Janeiro,273,4,4,2,5,acept,not furnished
São Paulo,159,2,2,1,8,acept,furnished
Rio de Janeiro,110,2,2,1,6,acept,furnished
Porto Alegre,130,4,4,3,3,acept,furnished
São Paulo,20,1,1,0,-,not acept,not furnished
São Paulo,330,4,5,4,-,acept,not furnished
Rio de Janeiro,30,1,1,0,8,not acept,not furnished
São Paulo,190,4,3,2,1,acept,not furnished
São Paulo,195,2,3,1,10,acept,not furnished
São Paulo,43,2,7,2,11,acept,not furnished
Campinas,49,2,1,1,5,acept,not furnished
São Paulo,68,3,1,1,1,acept,not furnished
Porto Alegre,63,2,2,2,3,acept,furnished
São Paulo,298,4,4,3,6,acept,not furnished
São Paulo,52,1,2,1,4,acept,furnished
São Paulo,350,3,2,4,-,acept,not furnished
São Paulo,170,4,2,1,3,acept,furnished
Rio de Janeiro,120,3,2,2,1,acept,not furnished
Rio de Janeiro,30,1,1,0,19,acept,not furnished
Belo Horizonte,67,2,1,0,5,not acept,furnished
São Paulo,210,3,4,0,-,acept,furnished
Porto Alegre,40,1,1,1,1,not acept,furnished
Porto Alegre,117,3,2,1,1,acept,not furnished
São Paulo,67,2,1,1,7,acept,not furnished
Belo Horizonte,70,3,2,2,1,acept,not furnished
Porto Alegre,60,2,1,2,-,acept,not furnished
São Paulo,856,5,7,6,4,acept,not furnished
Rio de Janeiro,34,1,1,0,7,acept,not furnished
São Paulo,717,5,5,8,16,acept,not furnished
Porto Alegre,96,2,1,0,2,not acept,not furnished
São Paulo,20,1,1,0,-,acept,furnished
Porto Alegre,70,1,2,0,-,not acept,not furnished
Rio de Janeiro,65,1,1,0,10,not acept,furnished
São Paulo,58,2,2,1,18,acept,not furnished
São Paulo,140,3,3,3,2,acept,not furnished
São Paulo,195,3,4,3,-,acept,not furnished
Rio de Janeiro,83,2,1,1,8,acept,furnished
Porto Alegre,40,1,1,1,6,acept,not furnished
São Paulo,70,1,1,0,-,not acept,not furnished
Rio de Janeiro,94,3,3,2,4,acept,not furnished
São Paulo,34,1,1,1,11,not acept,furnished
Campinas,30,1,1,0,4,acept,not furnished
São Paulo,73,2,2,1,12,acept,not furnished
Campinas,270,3,3,3,1,acept,not furnished
São Paulo,40,1,1,1,16,not acept,not furnished
São Paulo,25,1,1,0,-,not acept,not furnished
São Paulo,112,3,2,1,8,acept,not furnished
São Paulo,105,3,2,2,6,acept,not furnished
São Paulo,130,3,2,2,-,acept,not furnished
Belo Horizonte,118,4,2,1,1,acept,not furnished
Campinas,85,3,2,1,1,acept,not furnished
São Paulo,380,4,4,3,-,acept,furnished
Belo Horizonte,55,2,1,1,1,acept,not furnished
São Paulo,109,3,2,1,2,acept,not furnished
Belo Horizonte,758,5,4,5,3,acept,not furnished
Belo Horizonte,300,4,3,3,-,acept,not furnished
Belo Horizonte,72,2,3,0,1,acept,furnished
Belo Horizonte,148,4,3,2,12,acept,not furnished
Porto Alegre,75,2,1,0,9,acept,not furnished
Rio de Janeiro,68,2,2,1,7,not acept,not furnished
São Paulo,64,2,2,2,8,not acept,not furnished
Belo Horizonte,206,4,3,2,4,acept,not furnished
São Paulo,320,3,4,3,8,acept,not furnished
Rio de Janeiro,116,3,3,2,2,not acept,not furnished
Campinas,560,7,7,8,-,acept,not furnished
São Paulo,320,4,3,4,5,acept,not furnished
Rio de Janeiro,55,1,1,1,1,acept,furnished
São Paulo,85,2,2,0,8,acept,furnished
São Paulo,100,2,2,1,6,not acept,not furnished
São Paulo,400,5,5,5,-,acept,not furnished
Porto Alegre,220,3,2,2,-,acept,not furnished
Rio de Janeiro,80,2,2,0,6,acept,furnished
Campinas,66,1,1,2,2,acept,not furnished
Porto Alegre,80,2,2,1,12,acept,not furnished
São Paulo,260,5,4,4,12,acept,not furnished
São Paulo,450,4,5,6,-,not acept,furnished
Porto Alegre,88,2,2,1,3,acept,not furnished
Campinas,157,3,5,3,1,acept,not furnished
São Paulo,129,3,5,0,14,acept,not furnished
São Paulo,23,1,1,1,26,acept,not furnished
São Paulo,692,5,6,5,-,acept,not furnished
São Paulo,310,3,4,3,8,acept,not furnished
Porto Alegre,215,3,4,2,1,acept,not furnished
São Paulo,250,3,4,2,-,acept,not furnished
São Paulo,140,3,2,2,13,not acept,not furnished
São Paulo,100,1,1,0,-,not acept,not furnished
Campinas,47,2,1,1,2,acept,not furnished
Campinas,48,2,1,1,-,acept,not furnished
São Paulo,71,2,3,2,13,not acept,not furnished
São Paulo,70,2,1,2,-,not acept,not furnished
São Paulo,67,2,1,1,3,not acept,not furnished
São Paulo,120,3,2,1,-,acept,not furnished
São Paulo,465,5,5,2,-,acept,furnished
Rio de Janeiro,120,3,2,0,5,acept,furnished
São Paulo,92,2,1,0,9,not acept,not furnished
Porto Alegre,78,3,2,2,6,acept,furnished
Campinas,60,2,1,1,3,acept,not furnished
São Paulo,100,3,1,1,10,acept,not furnished
São Paulo,87,2,3,2,16,not acept,not furnished
São Paulo,160,2,2,4,-,acept,not furnished
São Paulo,100,2,3,2,7,acept,furnished
São Paulo,52,2,1,1,3,acept,not furnished
São Paulo,109,4,2,2,13,acept,not furnished
Rio de Janeiro,26,1,1,0,8,not acept,not furnished
São Paulo,270,4,5,2,4,acept,not furnished
Belo Horizonte,208,3,4,3,-,acept,not furnished
Belo Horizonte,20,1,1,1,1,not acept,not furnished
São Paulo,50,2,1,1,5,acept,furnished
Rio de Janeiro,138,2,1,0,3,acept,not furnished
Campinas,58,2,2,2,8,not acept,furnished
São Paulo,198,3,4,3,13,acept,furnished
São Paulo,115,4,4,3,2,acept,not furnished
Rio de Janeiro,128,3,3,2,3,acept,not furnished
São Paulo,66,1,1,0,6,acept,not furnished
São Paulo,234,3,5,3,17,not acept,furnished
São Paulo,380,4,4,6,-,acept,not furnished
São Paulo,113,2,1,1,5,acept,not furnished
São Paulo,160,3,3,2,-,acept,not furnished
Rio de Janeiro,80,2,1,0,3,not acept,not furnished
São Paulo,33,2,1,0,-,not acept,not furnished
Porto Alegre,50,2,1,1,1,not acept,not furnished
Rio de Janeiro,65,1,1,0,4,acept,not furnished
São Paulo,40,1,1,0,-,acept,not furnished
São Paulo,261,3,4,4,7,acept,not furnished
Belo Horizonte,50,2,1,1,4,acept,not furnished
Porto Alegre,281,4,4,2,5,acept,not furnished
São Paulo,119,2,1,1,-,not acept,not furnished
Belo Horizonte,52,2,1,1,6,acept,not furnished
Porto Alegre,40,1,1,0,2,not acept,not furnished
Porto Alegre,47,1,1,0,3,acept,not furnished
Porto Alegre,35,1,1,0,5,acept,not furnished
São Paulo,40,1,1,0,-,not acept,not furnished
Belo Horizonte,55,2,1,1,3,acept,not furnished
Rio de Janeiro,72,2,1,1,10,acept,not furnished
Porto Alegre,30,1,1,0,4,acept,not furnished
Rio de Janeiro,57,1,1,1,2,acept,not furnished
São Paulo,70,1,1,1,-,not acept,not furnished
São Paulo,63,2,2,1,20,acept,not furnished
São Paulo,220,3,4,3,11,acept,furnished
São Paulo,126,4,3,4,-,acept,not furnished
Porto Alegre,147,2,3,2,2,acept,furnished
São Paulo,70,3,2,1,10,not acept,furnished
São Paulo,99,2,1,1,14,acept,not furnished
Rio de Janeiro,90,3,1,0,2,acept,not furnished
Rio de Janeiro,100,2,1,0,1,not acept,not furnished
Rio de Janeiro,48,1,1,0,6,acept,furnished
Belo Horizonte,247,4,5,4,15,acept,furnished
São Paulo,443,5,5,4,3,acept,furnished
Rio de Janeiro,200,2,3,2,1,acept,not furnished
Belo Horizonte,360,4,3,4,-,not acept,not furnished
São Paulo,20,1,1,0,-,acept,furnished
Rio de Janeiro,90,3,2,0,3,acept,not furnished
São Paulo,297,4,4,6,-,acept,not furnished
Porto Alegre,180,3,3,2,3,acept,not furnished
São Paulo,54,1,2,1,13,acept,furnished
Porto Alegre,90,2,2,1,3,not acept,not furnished
Campinas,105,3,3,2,12,acept,not furnished
Porto Alegre,67,2,1,1,8,not acept,furnished
Campinas,45,1,1,0,1,acept,not furnished
Belo Horizonte,33,1,1,1,3,acept,not furnished
São Paulo,45,1,1,0,2,not acept,not furnished
Porto Alegre,127,3,3,0,5,acept,not furnished
São Paulo,120,3,3,2,1,acept,furnished
São Paulo,75,2,1,1,13,acept,not furnished
São Paulo,220,3,2,3,-,acept,furnished
São Paulo,50,1,1,1,17,not acept,furnished
Porto Alegre,115,3,2,1,3,acept,not furnished
Campinas,75,2,2,1,3,acept,not furnished
Rio de Janeiro,65,2,2,0,-,not acept,not furnished
Rio de Janeiro,39,1,1,0,2,not acept,furnished
São Paulo,200,2,3,2,-,acept,not furnished
São Paulo,72,2,1,0,14,acept,not furnished
Rio de Janeiro,108,2,2,1,7,not acept,furnished
São Paulo,32,1,1,1,1,acept,furnished
São Paulo,106,3,2,1,8,not acept,not furnished
Belo Horizonte,70,3,1,1,4,acept,not furnished
Rio de Janeiro,120,3,2,1,2,acept,furnished
Campinas,55,1,1,0,4,acept,not furnished
São Paulo,100,3,1,0,5,acept,not furnished
São Paulo,162,2,2,1,12,acept,furnished
São Paulo,75,2,1,1,2,acept,not furnished
Campinas,44,1,1,0,7,acept,not furnished
São Paulo,130,2,2,2,11,not acept,not furnished
Campinas,147,4,3,1,-,acept,not furnished
Porto Alegre,70,2,1,0,-,acept,not furnished
Porto Alegre,64,2,2,2,5,acept,not furnished
Rio de Janeiro,180,4,3,1,5,not acept,not furnished
Porto Alegre,42,2,1,0,1,acept,not furnished
São Paulo,117,3,3,1,13,acept,not furnished
Rio de Janeiro,180,3,4,2,7,acept,furnished
São Paulo,65,3,2,1,10,not acept,not furnished
São Paulo,29,1,1,0,1,not acept,furnished
São Paulo,600,4,6,3,-,acept,furnished
São Paulo,145,3,3,1,10,acept,furnished
São Paulo,310,4,4,4,21,acept,not furnished
Belo Horizonte,260,4,4,3,8,not acept,not furnished
São Paulo,320,3,3,2,10,acept,not furnished
Belo Horizonte,70,3,1,1,3,acept,not furnished
Rio de Janeiro,35,1,1,0,3,acept,not furnished
Porto Alegre,320,3,4,4,-,acept,not furnished
Porto Alegre,82,2,2,2,6,acept,not furnished
São Paulo,62,2,2,1,2,acept,furnished
Porto Alegre,60,3,1,0,3,acept,not furnished
Porto Alegre,78,3,2,0,8,acept,not furnished
São Paulo,385,4,5,6,3,acept,not furnished
Porto Alegre,214,3,3,2,4,acept,not furnished
São Paulo,233,4,5,4,7,acept,furnished
Rio de Janeiro,60,2,1,1,8,acept,not furnished
Belo Horizonte,22,1,1,0,3,not acept,furnished
Rio de Janeiro,100,2,3,0,1,acept,not furnished
São Paulo,90,2,1,1,2,acept,not furnished
Rio de Janeiro,60,2,2,0,4,not acept,not furnished
São Paulo,22,1,1,0,25,acept,not furnished
Porto Alegre,80,2,1,0,-,acept,furnished
São Paulo,110,3,4,3,8,acept,not furnished
Rio de Janeiro,120,2,2,1,14,acept,not furnished
Belo Horizonte,193,3,3,1,-,acept,not furnished
São Paulo,55,2,1,1,4,acept,not furnished
Rio de Janeiro,165,3,3,1,5,acept,furnished
Porto Alegre,46,1,1,2,7,acept,not furnished
Rio de Janeiro,55,2,1,0,1,acept,not furnished
São Paulo,150,2,2,1,-,acept,not furnished
São Paulo,57,1,1,0,8,acept,furnished
Rio de Janeiro,160,3,2,1,3,acept,furnished
São Paulo,200,4,4,2,9,acept,furnished
Campinas,60,1,2,1,10,acept,not furnished
São Paulo,180,3,2,1,11,acept,furnished
São Paulo,62,1,1,0,3,acept,not furnished
Rio de Janeiro,90,3,2,1,12,acept,furnished
Rio de Janeiro,35,1,1,0,3,not acept,furnished
São Paulo,95,2,1,1,8,acept,not furnished
São Paulo,320,5,5,4,4,acept,not furnished
Rio de Janeiro,127,3,2,2,4,acept,not furnished
São Paulo,210,3,2,2,11,acept,furnished
São Paulo,160,4,3,2,20,acept,furnished
São Paulo,273,3,2,5,-,not acept,not furnished
São Paulo,211,4,5,4,2,acept,not furnished
São Paulo,145,2,3,2,16,acept,furnished
Porto Alegre,92,2,2,1,6,acept,not furnished
Campinas,70,2,3,1,7,acept,not furnished
Campinas,254,3,4,2,-,acept,not furnished
São Paulo,350,4,4,2,4,not acept,not furnished
São Paulo,55,1,1,0,13,acept,not furnished
São Paulo,80,3,2,2,5,acept,not furnished
São Paulo,280,3,3,4,21,acept,not furnished
São Paulo,100,3,1,0,3,acept,not furnished
Rio de Janeiro,98,3,2,1,2,acept,not furnished
São Paulo,85,2,3,1,14,acept,not furnished
São Paulo,78,2,2,2,1,not acept,furnished
São Paulo,58,2,1,1,6,acept,not furnished
Rio de Janeiro,50,1,1,1,3,acept,not furnished
São Paulo,30,1,1,0,14,acept,not furnished
São Paulo,75,2,1,1,4,acept,furnished
Campinas,350,4,6,6,-,acept,not furnished
São Paulo,136,3,4,3,2,acept,not furnished
São Paulo,290,3,3,3,-,acept,not furnished
São Paulo,99,2,2,2,4,acept,not furnished
Porto Alegre,750,5,3,6,-,not acept,furnished
São Paulo,110,2,2,1,-,acept,not furnished
Porto Alegre,340,2,3,2,5,acept,not furnished
São Paulo,178,2,1,1,9,not acept,not furnished
Belo Horizonte,28,1,1,1,-,not acept,furnished
Belo Horizonte,38,1,1,0,2,not acept,not furnished
Porto Alegre,254,3,4,2,-,acept,not furnished
Porto Alegre,51,2,1,1,6,acept,not furnished
São Paulo,134,3,3,2,18,acept,furnished
São Paulo,38,1,1,1,16,acept,not furnished
São Paulo,400,4,5,3,-,not acept,not furnished
Rio de Janeiro,136,3,2,2,7,acept,furnished
São Paulo,250,4,5,2,17,acept,furnished
Campinas,94,2,2,2,3,acept,not furnished
Rio de Janeiro,62,2,2,1,5,acept,furnished
São Paulo,80,2,2,1,-,acept,furnished
Campinas,89,3,1,1,5,not acept,not furnished
Campinas,51,2,1,0,2,acept,not furnished
São Paulo,40,1,1,1,19,not acept,furnished
Porto Alegre,47,1,1,1,3,not acept,furnished
São Paulo,210,3,5,3,2,acept,furnished
São Paulo,230,4,4,4,1,acept,furnished
São Paulo,70,2,2,1,5,acept,not furnished
Porto Alegre,117,3,1,1,3,acept,not furnished
Belo Horizonte,54,2,2,0,18,acept,not furnished
São Paulo,105,2,1,0,-,acept,not furnished
Rio de Janeiro,47,2,2,0,5,acept,furnished
São Paulo,120,3,1,0,2,acept,not furnished
Rio de Janeiro,284,4,6,2,5,acept,furnished
São Paulo,58,2,1,1,4,not acept,furnished
Porto Alegre,95,2,1,1,3,acept,not furnished
Rio de Janeiro,65,2,1,0,-,acept,not furnished
Porto Alegre,188,3,4,2,-,acept,furnished
Belo Horizonte,21,1,1,0,20,not acept,not furnished
São Paulo,65,2,2,1,13,not acept,furnished
Rio de Janeiro,50,2,1,0,9,acept,furnished
São Paulo,150,4,3,3,-,acept,not furnished
Porto Alegre,90,3,3,1,1,acept,not furnished
Belo Horizonte,400,3,3,6,-,acept,not furnished
Campinas,64,2,2,2,9,acept,not furnished
São Paulo,80,2,1,1,2,not acept,not furnished
São Paulo,300,3,5,4,12,not acept,not furnished
São Paulo,240,3,3,2,-,acept,furnished
São Paulo,50,2,1,1,7,not acept,furnished
São Paulo,820,4,4,6,-,acept,not furnished
