Cidade,Área,Quartos,Banheiros,Garagem,Andar,Animal,Mobília,Aluguel
São Paulo,36,1,1,1,1,acept,not furnished,3588
São Paulo,700,5,7,8,-,acept,furnished,7891
Rio de Janeiro,300,4,2,0,-,acept,not furnished,7098
São Paulo,850,4,4,8,-,acept,not furnished,18020
São Paulo,347,4,7,6,-,acept,not furnished,10030
Rio de Janeiro,64,2,1,0,3,acept,not furnished,1160
Belo Horizonte,95,3,2,2,2,not acept,not furnished,1967
Porto Alegre,164,3,3,0,5,acept,not furnished,6471
Belo Horizonte,65,2,2,2,3,acept,not furnished,2068
Campinas,60,1,1,1,1,acept,furnished,2424
São Paulo,70,2,1,1,9,acept,furnished,3876
São Paulo,430,4,7,6,-,acept,not furnished,8411
Belo Horizonte,100,3,2,1,3,acept,not furnished,2564
São Paulo,85,3,3,2,3,not acept,not furnished,6903
São Paulo,156,3,3,1,12,not acept,not furnished,5803
São Paulo,147,3,4,2,2,acept,furnished,12550
São Paulo,54,1,1,0,8,acept,furnished,4500
Porto Alegre,143,2,1,2,7,acept,furnished,3621
São Paulo,160,3,3,1,11,acept,not furnished,5472
São Paulo,101,3,4,2,5,acept,not furnished,4800
Porto Alegre,350,3,2,4,-,acept,furnished,7130
Rio de Janeiro,60,1,1,0,1,acept,not furnished,1363
São Paulo,210,3,2,1,5,acept,furnished,11450
São Paulo,130,2,1,1,1,acept,not furnished,2408
Belo Horizonte,350,4,3,3,9,not acept,not furnished,12840
Campinas,44,1,1,0,7,acept,not furnished,951
Rio de Janeiro,140,3,2,1,8,acept,not furnished,6786
Rio de Janeiro,23,1,1,0,5,not acept,not furnished,1880
Porto Alegre,54,1,1,1,4,not acept,not furnished,1530
Belo Horizonte,580,5,6,5,-,not acept,not furnished,16400
São Paulo,100,2,1,0,-,not acept,not furnished,1142
São Paulo,230,3,4,0,16,acept,furnished,5439
São Paulo,40,1,2,1,28,not acept,furnished,6507
Rio de Janeiro,35,1,1,0,-,acept,not furnished,760
São Paulo,160,4,4,3,6,acept,furnished,7156
São Paulo,200,2,1,0,-,acept,not furnished,3134
São Paulo,244,3,4,2,-,acept,not furnished,5103
São Paulo,220,3,4,3,11,acept,furnished,12400
Rio de Janeiro,76,2,2,2,7,not acept,not furnished,4819
Belo Horizonte,360,5,2,2,1,acept,not furnished,5648
Rio de Janeiro,40,2,1,0,7,acept,not furnished,1322
São Paulo,37,1,1,0,4,acept,furnished,3214
Belo Horizonte,42,2,1,1,5,acept,not furnished,1109
São Paulo,55,1,2,1,18,acept,furnished,7858
São Paulo,500,4,4,4,-,acept,not furnished,15350
Belo Horizonte,234,3,3,3,-,acept,not furnished,8675
São Paulo,25,1,1,0,1,not acept,not furnished,1251
Campinas,54,2,1,1,3,acept,not furnished,2215
São Paulo,230,5,3,2,-,acept,furnished,3835
Belo Horizonte,67,2,1,0,5,not acept,furnished,1615
São Paulo,69,2,2,0,-,acept,not furnished,1799
Belo Horizonte,200,5,5,8,-,acept,not furnished,7116
Belo Horizonte,68,3,2,1,1,acept,furnished,2735
São Paulo,205,3,4,4,13,acept,not furnished,8427
São Paulo,69,3,2,2,6,not acept,not furnished,3110
São Paulo,100,2,2,2,24,acept,furnished,5343
São Paulo,87,3,2,2,17,acept,not furnished,4009
Rio de Janeiro,70,2,1,1,2,acept,not furnished,3072
Belo Horizonte,176,4,5,3,6,acept,furnished,9427
São Paulo,160,4,2,2,-,acept,not furnished,2619
São Paulo,53,2,2,1,6,not acept,not furnished,1671
São Paulo,300,2,4,2,-,acept,furnished,3299
São Paulo,500,3,3,5,-,acept,not furnished,9162
Belo Horizonte,106,3,2,2,8,acept,not furnished,4087
Campinas,130,2,2,5,-,acept,not furnished,2149
Rio de Janeiro,80,2,1,0,3,not acept,not furnished,1565
Porto Alegre,125,3,2,4,6,acept,furnished,7790
São Paulo,50,1,1,0,-,not acept,not furnished,813
Rio de Janeiro,270,3,2,1,6,not acept,not furnished,7052
São Paulo,50,2,1,1,2,not acept,furnished,2070
São Paulo,550,4,4,4,-,acept,not furnished,15550
São Paulo,48,1,1,1,4,acept,not furnished,4191
São Paulo,500,3,3,7,-,acept,not furnished,5667
São Paulo,65,2,2,1,12,not acept,furnished,7307
Porto Alegre,77,2,1,0,1,not acept,not furnished,1172
Belo Horizonte,154,4,2,3,4,not acept,furnished,8269
São Paulo,90,3,4,2,9,acept,furnished,7036
São Paulo,114,3,3,0,7,not acept,not furnished,4340
São Paulo,44,1,1,1,9,acept,furnished,2342
Porto Alegre,50,2,1,0,-,acept,not furnished,911
São Paulo,96,3,2,1,12,acept,not furnished,4442
São Paulo,150,3,2,1,7,acept,furnished,7961
São Paulo,90,3,2,2,1,acept,not furnished,3208
São Paulo,46,1,1,1,3,acept,furnished,3872
São Paulo,250,3,2,2,-,acept,not furnished,3803
São Paulo,93,2,1,1,4,not acept,furnished,6665
Porto Alegre,68,2,2,1,3,acept,not furnished,2309
Rio de Janeiro,42,1,1,0,4,not acept,furnished,2578
São Paulo,340,5,4,2,7,acept,not furnished,233200
Porto Alegre,45,2,1,0,2,acept,not furnished,1172
São Paulo,70,1,2,1,3,acept,not furnished,5211
Belo Horizonte,70,2,1,1,6,acept,not furnished,1588
São Paulo,63,3,2,0,18,acept,not furnished,2373
Campinas,74,3,2,1,10,acept,not furnished,2643
Belo Horizonte,42,1,1,1,15,not acept,not furnished,3308
São Paulo,170,3,4,3,21,acept,not furnished,7014
São Paulo,40,2,1,1,1,acept,not furnished,4042
São Paulo,60,2,2,2,6,acept,not furnished,3521
São Paulo,213,4,4,4,4,acept,not furnished,7253
São Paulo,30,1,1,1,14,not acept,furnished,4105
São Paulo,49,1,1,1,7,acept,furnished,3906
Rio de Janeiro,98,2,1,0,1,acept,not furnished,4695
São Paulo,125,3,1,0,4,acept,not furnished,3527
São Paulo,136,3,2,2,2,acept,not furnished,4634
São Paulo,264,4,4,6,-,acept,not furnished,7111
São Paulo,144,4,4,4,3,acept,not furnished,7530
São Paulo,250,3,4,3,8,acept,not furnished,12800
Rio de Janeiro,174,4,2,1,1,acept,not furnished,4613
São Paulo,40,1,1,1,14,not acept,furnished,4601
São Paulo,50,1,1,1,-,not acept,not furnished,935
Rio de Janeiro,140,3,2,1,4,not acept,furnished,5923
Belo Horizonte,118,3,2,0,1,not acept,not furnished,1941
Belo Horizonte,80,3,2,1,7,acept,not furnished,2999
Porto Alegre,46,1,1,1,3,acept,not furnished,1317
São Paulo,52,1,2,1,4,acept,furnished,4991
Campinas,82,2,1,1,1,acept,not furnished,1013
São Paulo,17,1,1,0,2,acept,not furnished,2777
São Paulo,158,3,4,3,5,not acept,furnished,14840
Porto Alegre,80,3,2,2,5,acept,not furnished,2550
São Paulo,50,2,1,1,1,not acept,not furnished,2141
São Paulo,65,2,2,1,14,not acept,not furnished,1930
Porto Alegre,45,1,1,1,13,acept,furnished,3108
Rio de Janeiro,300,4,4,1,-,acept,not furnished,3744
São Paulo,178,3,4,2,4,not acept,not furnished,13410
Rio de Janeiro,109,3,3,1,1,acept,not furnished,6149
São Paulo,645,5,8,8,-,acept,not furnished,17560
Porto Alegre,68,3,2,1,10,acept,not furnished,2300
São Paulo,50,2,1,1,7,not acept,not furnished,4444
São Paulo,237,3,5,3,8,acept,furnished,8687
Rio de Janeiro,200,4,4,4,-,acept,not furnished,2975
São Paulo,34,1,1,1,2,not acept,not furnished,2340
Campinas,94,2,2,2,3,acept,not furnished,5106
São Paulo,70,2,2,0,-,not acept,not furnished,3948
São Paulo,192,3,3,3,16,acept,furnished,9003
São Paulo,100,2,2,1,-,not acept,not furnished,1552
São Paulo,45,1,1,0,12,not acept,not furnished,3938
Rio de Janeiro,120,3,2,1,3,acept,not furnished,9631
São Paulo,46,1,1,1,7,acept,not furnished,2881
São Paulo,31,1,1,1,3,not acept,furnished,4141
São Paulo,600,4,3,3,1,acept,not furnished,11470
Rio de Janeiro,68,2,1,1,2,acept,not furnished,1717
São Paulo,115,2,3,2,8,acept,not furnished,14320
São Paulo,130,2,2,2,11,not acept,not furnished,10580
São Paulo,240,3,4,1,6,not acept,not furnished,17140
São Paulo,270,3,4,0,1,acept,not furnished,3710
São Paulo,67,2,1,1,2,acept,furnished,2222
São Paulo,113,2,2,1,6,acept,not furnished,4089
São Paulo,230,3,3,3,6,not acept,not furnished,13530
São Paulo,86,2,1,0,-,acept,not furnished,1538
São Paulo,240,4,4,3,1,acept,not furnished,7846
Belo Horizonte,27,1,1,0,1,not acept,furnished,1517
São Paulo,80,2,1,1,2,acept,furnished,5333
São Paulo,30,1,1,1,10,not acept,not furnished,2406
Campinas,550,3,4,8,-,acept,not furnished,5050
Campinas,273,4,2,2,4,acept,furnished,4968
São Paulo,226,3,3,0,-,acept,furnished,6125
São Paulo,68,2,1,1,9,acept,not furnished,2428
São Paulo,76,1,2,2,5,acept,furnished,3596
São Paulo,69,3,2,1,8,acept,not furnished,2702
São Paulo,135,3,3,2,7,not acept,furnished,5332
Rio de Janeiro,30,1,1,0,20,not acept,not furnished,1013
São Paulo,50,2,2,0,1,not acept,not furnished,1163
Rio de Janeiro,40,1,1,0,2,acept,not furnished,2965
São Paulo,42,1,1,1,5,acept,not furnished,2885
São Paulo,43,1,1,0,11,acept,not furnished,2475
Belo Horizonte,15,1,1,0,3,not acept,furnished,1115
São Paulo,200,3,3,2,-,not acept,not furnished,6841
São Paulo,147,3,3,2,7,acept,not furnished,4261
São Paulo,250,3,4,2,1,not acept,not furnished,9531
Porto Alegre,300,6,2,2,-,acept,not furnished,6349
São Paulo,164,4,4,2,6,not acept,not furnished,7609
São Paulo,195,3,3,2,-,acept,not furnished,3365
São Paulo,20,1,1,0,2,acept,furnished,2555
São Paulo,138,3,4,2,18,acept,furnished,12150
São Paulo,120,3,2,2,-,acept,not furnished,3268
Rio de Janeiro,43,1,1,0,7,acept,not furnished,1495
Rio de Janeiro,54,2,1,1,9,acept,not furnished,2181
Belo Horizonte,850,5,7,8,-,acept,not furnished,10170
Belo Horizonte,69,3,1,2,4,acept,not furnished,1548
São Paulo,140,3,2,2,8,acept,furnished,13410
Rio de Janeiro,150,3,3,0,10,acept,furnished,7395
São Paulo,50,2,2,1,9,acept,not furnished,2213
Belo Horizonte,70,2,1,1,-,acept,not furnished,1092
Rio de Janeiro,72,1,1,1,1,acept,not furnished,4742
São Paulo,70,2,1,0,1,not acept,not furnished,1530
Rio de Janeiro,54,1,1,0,3,acept,furnished,3451
São Paulo,75,3,2,2,3,acept,not furnished,2928
São Paulo,42,1,1,0,-,not acept,not furnished,1117
São Paulo,33,1,1,1,13,not acept,furnished,3263
São Paulo,34,1,1,0,2,acept,not furnished,1092
São Paulo,307,4,6,4,-,acept,furnished,11080
São Paulo,60,1,2,1,9,not acept,furnished,4693
São Paulo,116,4,3,2,8,acept,not furnished,3801
São Paulo,31,1,1,0,1,acept,furnished,3487
Rio de Janeiro,40,2,1,0,2,acept,not furnished,1999
São Paulo,170,4,4,3,9,acept,not furnished,10940
São Paulo,240,3,2,3,-,acept,not furnished,3845
São Paulo,71,2,1,0,3,acept,furnished,1667
Campinas,43,2,1,1,-,acept,not furnished,1294
Porto Alegre,132,3,2,2,9,acept,furnished,4566
Campinas,90,3,2,1,3,acept,not furnished,2366
Campinas,346,5,5,2,-,acept,not furnished,4265
São Paulo,70,2,2,1,1,not acept,not furnished,1990
São Paulo,132,3,1,2,7,not acept,furnished,9422
São Paulo,138,2,2,1,11,acept,furnished,8178
Belo Horizonte,200,4,2,2,5,acept,not furnished,6816
Rio de Janeiro,15,1,1,0,-,acept,not furnished,710
São Paulo,288,4,5,4,8,acept,not furnished,9879
São Paulo,60,1,1,1,7,not acept,not furnished,3086
Rio de Janeiro,114,4,2,1,10,acept,furnished,5989
Campinas,83,2,2,2,1,acept,furnished,4781
São Paulo,34,1,1,1,-,acept,not furnished,1509
São Paulo,151,3,3,3,1,acept,furnished,6551
São Paulo,78,2,2,1,8,acept,not furnished,2351
Campinas,44,1,1,1,2,acept,not furnished,1413
Belo Horizonte,45,1,1,1,6,not acept,not furnished,1670
São Paulo,44,1,1,1,8,acept,not furnished,2880
São Paulo,38,1,1,1,3,acept,furnished,3522
Belo Horizonte,211,3,4,3,-,not acept,not furnished,8830
São Paulo,213,2,2,3,-,acept,not furnished,5228
São Paulo,105,1,1,2,29,not acept,not furnished,10530
São Paulo,40,1,1,1,9,acept,furnished,1976
Rio de Janeiro,65,2,1,1,3,acept,furnished,2222
São Paulo,230,4,3,4,17,not acept,furnished,9039
Campinas,44,2,1,1,4,acept,furnished,2167
Campinas,260,4,3,4,-,acept,furnished,7114
São Paulo,140,3,3,1,2,acept,furnished,4198
São Paulo,72,2,2,1,11,acept,not furnished,4961
São Paulo,400,4,5,5,-,acept,not furnished,7659
São Paulo,400,5,6,0,-,acept,not furnished,5279
Rio de Janeiro,180,3,3,0,-,acept,not furnished,2779
São Paulo,38,1,1,0,2,not acept,not furnished,1023
São Paulo,190,3,4,4,16,acept,furnished,19200
Porto Alegre,200,4,3,0,-,not acept,not furnished,16100
São Paulo,250,5,3,6,-,acept,not furnished,17930
São Paulo,194,3,4,4,5,acept,not furnished,16420
São Paulo,330,5,3,6,-,acept,not furnished,12330
Belo Horizonte,58,1,2,2,7,acept,not furnished,1823
São Paulo,78,2,1,1,1,acept,not furnished,2942
São Paulo,80,2,1,1,2,acept,furnished,4995
São Paulo,20,1,1,0,5,acept,furnished,2555
Porto Alegre,182,3,3,2,-,acept,not furnished,3369
São Paulo,37,1,1,1,6,acept,furnished,5203
Rio de Janeiro,65,1,1,1,6,not acept,furnished,5586
São Paulo,250,3,2,1,2,acept,not furnished,16810
Porto Alegre,117,3,2,2,10,acept,not furnished,7312
São Paulo,60,3,1,1,3,acept,not furnished,2040
São Paulo,92,3,2,2,4,acept,not furnished,3015
São Paulo,210,3,3,4,1,acept,not furnished,11080
São Paulo,59,2,1,1,10,acept,not furnished,2109
São Paulo,78,2,1,2,9,acept,furnished,5975
São Paulo,132,3,2,1,11,acept,not furnished,4510
Porto Alegre,87,2,1,1,6,acept,furnished,1916
São Paulo,39,1,1,1,15,acept,furnished,2644
São Paulo,84,3,2,2,10,acept,not furnished,2829
São Paulo,60,1,1,1,-,acept,not furnished,1269
São Paulo,73,2,1,1,12,acept,not furnished,2032
São Paulo,89,2,3,3,9,acept,furnished,5757
São Paulo,242,4,5,4,4,acept,furnished,16350
Porto Alegre,132,6,4,2,18,acept,not furnished,4367
Rio de Janeiro,150,2,1,0,3,acept,not furnished,2150
São Paulo,25,1,1,0,2,acept,not furnished,1452
São Paulo,85,2,2,2,3,not acept,not furnished,4628
Campinas,270,3,3,5,-,acept,not furnished,8072
São Paulo,500,7,4,3,-,acept,furnished,15000
Porto Alegre,47,1,1,0,-,not acept,not furnished,1317
Rio de Janeiro,110,3,2,1,4,not acept,not furnished,3461
São Paulo,74,2,1,0,2,not acept,not furnished,2534
São Paulo,60,2,1,1,5,acept,not furnished,2245
São Paulo,180,3,2,1,-,acept,not furnished,5941
São Paulo,50,2,1,0,-,acept,not furnished,1261
Belo Horizonte,320,5,4,6,-,not acept,not furnished,8716
Rio de Janeiro,55,1,1,0,9,acept,furnished,3284
Belo Horizonte,70,3,1,1,3,acept,not furnished,1003
Belo Horizonte,224,4,4,4,1,acept,furnished,12100
Rio de Janeiro,180,3,4,2,7,acept,furnished,16770
Belo Horizonte,180,4,3,4,6,not acept,not furnished,14490
São Paulo,65,2,2,2,13,acept,furnished,4633
São Paulo,200,3,2,3,3,acept,not furnished,5651
São Paulo,30,1,1,0,2,not acept,not furnished,2533
São Paulo,62,3,1,1,7,not acept,not furnished,2046
São Paulo,128,3,3,0,3,acept,furnished,15150
Rio de Janeiro,16,1,1,0,2,acept,not furnished,1043
São Paulo,35,1,1,1,10,not acept,furnished,4441
São Paulo,340,2,4,3,14,acept,not furnished,21010
São Paulo,200,3,3,8,-,acept,not furnished,5057
Campinas,51,1,1,0,3,acept,not furnished,1251
São Paulo,205,4,4,6,5,acept,not furnished,6164
São Paulo,254,3,5,4,18,acept,not furnished,13120
Campinas,101,3,2,2,1,acept,not furnished,2979
São Paulo,71,2,2,0,16,acept,not furnished,2475
Porto Alegre,90,3,2,0,3,not acept,not furnished,1558
Belo Horizonte,62,2,1,1,3,acept,not furnished,1248
São Paulo,23,1,1,1,26,acept,not furnished,2861
Porto Alegre,62,2,1,0,4,acept,not furnished,1127
Porto Alegre,220,4,5,2,-,acept,not furnished,7350
São Paulo,90,2,1,0,1,acept,not furnished,2271
Porto Alegre,89,2,1,0,4,not acept,not furnished,1548
Rio de Janeiro,58,2,2,1,1,acept,not furnished,2072
Campinas,48,1,1,0,13,acept,not furnished,1255
Rio de Janeiro,65,1,1,0,-,acept,not furnished,2154
São Paulo,80,2,2,1,11,acept,not furnished,4007
São Paulo,140,3,3,5,8,not acept,furnished,10810
Campinas,89,3,2,1,7,acept,not furnished,2753
Campinas,85,2,2,1,4,acept,not furnished,2081
São Paulo,55,2,2,1,4,acept,not furnished,2254
Porto Alegre,68,2,1,1,5,acept,not furnished,1912
São Paulo,70,3,1,1,1,acept,not furnished,2016
Porto Alegre,51,2,1,0,2,acept,not furnished,1421
Porto Alegre,336,2,2,2,2,acept,furnished,10340
São Paulo,189,4,3,2,5,not acept,furnished,9467
Belo Horizonte,180,3,2,2,-,acept,not furnished,2217
Belo Horizonte,42,1,1,1,15,not acept,furnished,3308
São Paulo,39,1,1,1,5,acept,furnished,2367
São Paulo,63,2,1,2,12,acept,not furnished,6990
São Paulo,75,3,2,1,11,not acept,not furnished,3115
São Paulo,24,1,1,0,2,acept,not furnished,2762
Rio de Janeiro,78,3,3,1,2,acept,not furnished,4023
São Paulo,110,2,1,1,21,acept,not furnished,4551
Rio de Janeiro,300,4,2,2,6,acept,not furnished,12150
São Paulo,35,1,1,1,17,acept,not furnished,2409
São Paulo,90,2,1,1,1,acept,not furnished,4089
Rio de Janeiro,90,2,2,2,3,acept,furnished,6213
Porto Alegre,270,3,2,2,-,acept,not furnished,2605
São Paulo,254,4,4,4,7,acept,not furnished,14280
São Paulo,90,2,2,2,17,acept,furnished,14310
Rio de Janeiro,23,1,1,0,4,not acept,not furnished,2070
Campinas,240,3,4,4,1,acept,not furnished,9889
São Paulo,276,3,3,4,15,acept,furnished,11830
Belo Horizonte,120,4,2,0,1,acept,not furnished,1890
São Paulo,63,2,1,1,3,acept,not furnished,1769
São Paulo,210,3,2,2,11,acept,furnished,8081
São Paulo,45,2,1,1,4,acept,furnished,2901
Rio de Janeiro,92,2,1,1,12,acept,not furnished,2997
São Paulo,49,2,1,1,5,acept,not furnished,2043
Belo Horizonte,125,3,2,0,2,acept,not furnished,2963
Porto Alegre,110,3,1,1,2,acept,not furnished,3273
São Paulo,63,2,2,1,-,acept,not furnished,2028
Rio de Janeiro,700,5,5,4,-,acept,furnished,18280
Belo Horizonte,420,4,3,8,-,acept,not furnished,6424
Belo Horizonte,40,2,2,1,2,not acept,not furnished,1122
São Paulo,750,4,6,2,-,acept,not furnished,17270
São Paulo,70,2,2,2,16,acept,not furnished,4826
Belo Horizonte,73,2,1,2,1,acept,not furnished,1428
Porto Alegre,48,1,1,0,4,acept,not furnished,949
São Paulo,262,3,4,4,8,acept,not furnished,22090
Belo Horizonte,92,3,2,2,3,acept,not furnished,2447
Rio de Janeiro,48,1,1,1,6,acept,furnished,2837
São Paulo,270,3,3,1,-,acept,furnished,6621
São Paulo,200,2,4,1,-,acept,not furnished,16060
São Paulo,250,4,6,4,12,not acept,not furnished,18560
Rio de Janeiro,380,4,3,2,9,acept,not furnished,19760
São Paulo,132,3,2,3,-,acept,not furnished,2597
São Paulo,130,3,2,1,1,acept,not furnished,5858
Rio de Janeiro,100,3,3,1,3,acept,not furnished,4221
São Paulo,100,3,4,2,6,not acept,not furnished,4889
São Paulo,54,2,1,0,7,acept,not furnished,2562
Rio de Janeiro,260,4,3,1,11,acept,furnished,9208
Campinas,58,1,2,2,2,acept,not furnished,1961
São Paulo,52,2,1,1,9,acept,not furnished,1700
Rio de Janeiro,50,1,1,1,6,acept,furnished,2760
Belo Horizonte,201,4,4,3,2,acept,not furnished,7874
São Paulo,80,3,3,1,11,not acept,not furnished,2681
São Paulo,237,4,4,4,4,acept,not furnished,9185
Porto Alegre,20,1,1,1,-,acept,furnished,1039
Rio de Janeiro,40,1,1,0,5,acept,not furnished,2742
São Paulo,311,4,5,6,4,acept,furnished,22720
Belo Horizonte,80,1,2,0,2,acept,not furnished,1333
Campinas,85,3,2,1,1,acept,not furnished,2042
São Paulo,43,1,1,0,6,acept,not furnished,1739
São Paulo,114,1,1,1,6,acept,not furnished,4031
São Paulo,67,2,1,1,2,acept,furnished,2540
Porto Alegre,336,3,4,3,-,acept,not furnished,15180
São Paulo,186,3,2,2,5,acept,not furnished,3886
Belo Horizonte,106,3,2,2,7,not acept,not furnished,3763
São Paulo,150,3,4,1,-,acept,not furnished,4805
São Paulo,60,1,1,1,7,acept,furnished,3826
Rio de Janeiro,75,2,2,1,1,acept,not furnished,3870
São Paulo,375,4,5,4,-,acept,not furnished,13900
São Paulo,250,4,5,2,17,acept,furnished,14160
São Paulo,79,2,2,1,1,acept,furnished,2701
São Paulo,120,3,2,0,1,acept,not furnished,2622
São Paulo,45,1,1,1,12,not acept,not furnished,4329
São Paulo,58,2,1,1,6,acept,not furnished,2668
Belo Horizonte,410,4,4,4,-,acept,furnished,5447
Campinas,50,1,1,0,1,not acept,not furnished,1174
São Paulo,26,1,1,0,4,not acept,not furnished,1615
Porto Alegre,60,2,1,1,4,acept,not furnished,1228
São Paulo,55,1,1,1,3,not acept,furnished,5226
São Paulo,38,1,1,1,12,not acept,furnished,2255
Porto Alegre,90,2,2,1,3,not acept,not furnished,3017
Rio de Janeiro,152,4,2,1,7,acept,furnished,5847
Rio de Janeiro,15,1,1,0,-,acept,not furnished,760
São Paulo,190,3,3,2,10,acept,not furnished,7418
Rio de Janeiro,220,3,2,2,8,acept,not furnished,5661
São Paulo,93,2,1,1,1,acept,not furnished,2644
Porto Alegre,92,2,2,1,6,acept,not furnished,2445
São Paulo,215,3,4,4,-,acept,not furnished,10520
Porto Alegre,37,1,1,0,4,acept,not furnished,1931
São Paulo,62,2,2,1,2,not acept,furnished,4103
Belo Horizonte,300,4,4,4,4,acept,not furnished,13450
São Paulo,70,1,1,0,-,not acept,not furnished,1266
São Paulo,127,3,4,2,6,not acept,furnished,5022
São Paulo,50,2,1,1,5,acept,not furnished,1943
São Paulo,500,3,2,8,-,acept,not furnished,4693
Campinas,100,3,2,2,-,acept,not furnished,2299
Porto Alegre,46,1,1,1,1,acept,not furnished,1524
São Paulo,160,4,2,2,12,acept,furnished,6929
Rio de Janeiro,50,1,1,0,2,acept,furnished,2331
São Paulo,201,3,5,3,2,not acept,furnished,13470
São Paulo,102,3,1,1,-,acept,not furnished,1787
São Paulo,200,4,4,2,-,not acept,not furnished,8971
Belo Horizonte,52,2,1,1,3,acept,not furnished,1233
São Paulo,480,4,4,4,12,acept,furnished,23780
Belo Horizonte,64,2,1,1,2,acept,not furnished,1192
São Paulo,78,2,2,2,13,acept,not furnished,5006
São Paulo,53,2,1,1,4,not acept,furnished,3002
São Paulo,52,2,1,0,4,acept,not furnished,1357
São Paulo,124,3,3,3,15,acept,not furnished,5986
Rio de Janeiro,50,2,1,1,5,acept,furnished,2053
São Paulo,200,2,3,1,10,acept,not furnished,6308
Rio de Janeiro,74,3,1,0,-,acept,not furnished,1665
Belo Horizonte,50,2,1,0,-,not acept,not furnished,822
Campinas,110,3,3,2,-,acept,not furnished,3897
São Paulo,160,3,2,2,-,not acept,not furnished,3803
Rio de Janeiro,90,2,2,0,4,acept,not furnished,1845
São Paulo,240,4,4,4,8,acept,furnished,7358
Belo Horizonte,60,3,1,1,1,acept,not furnished,1374
São Paulo,142,3,3,2,15,acept,not furnished,11190
São Paulo,140,4,3,2,-,not acept,not furnished,2757
São Paulo,137,3,4,2,2,acept,not furnished,3862
São Paulo,39,1,1,1,4,acept,not furnished,1586
São Paulo,220,2,2,3,-,acept,not furnished,11410
Campinas,38,1,1,0,3,not acept,not furnished,1151
São Paulo,86,2,2,1,4,acept,not furnished,2708
São Paulo,400,3,3,4,-,acept,not furnished,14510
Rio de Janeiro,60,2,2,1,12,acept,not furnished,1961
Porto Alegre,48,1,1,0,4,acept,furnished,1603
São Paulo,50,1,1,1,8,acept,furnished,3420
Rio de Janeiro,65,2,1,1,7,acept,not furnished,2228
Rio de Janeiro,266,4,4,2,4,acept,not furnished,7276
Belo Horizonte,70,2,1,1,6,acept,not furnished,2083
Porto Alegre,129,2,3,1,5,acept,furnished,2915
São Paulo,400,4,4,4,9,acept,not furnished,14940
São Paulo,93,2,1,2,19,not acept,not furnished,8647
São Paulo,75,3,2,1,21,acept,not furnished,3466
São Paulo,380,3,3,4,-,acept,furnished,4564
Porto Alegre,129,2,2,2,9,acept,furnished,8309
Campinas,40,1,1,0,8,acept,not furnished,1131
Porto Alegre,135,3,2,1,8,acept,not furnished,3706
São Paulo,59,2,1,1,1,acept,not furnished,2014
São Paulo,102,3,2,2,1,acept,not furnished,3610
São Paulo,65,3,2,1,2,acept,not furnished,2531
São Paulo,161,4,3,2,1,acept,not furnished,12040
São Paulo,60,3,2,1,-,acept,furnished,2467
São Paulo,56,2,1,1,10,acept,not furnished,1725
São Paulo,74,2,1,0,2,acept,not furnished,3476
Porto Alegre,110,2,2,0,5,not acept,furnished,4252
São Paulo,246,3,4,4,9,acept,furnished,14960
São Paulo,900,4,9,8,1,acept,not furnished,20930
Campinas,103,2,1,1,4,not acept,not furnished,1793
Rio de Janeiro,189,3,2,2,9,acept,not furnished,11600
Porto Alegre,127,3,2,2,2,acept,furnished,3763
São Paulo,167,3,3,2,7,acept,not furnished,7177
Campinas,136,3,2,1,6,acept,not furnished,1923
Rio de Janeiro,50,1,1,1,2,acept,not furnished,1508
São Paulo,120,3,3,2,-,acept,not furnished,4623
Porto Alegre,40,1,1,0,1,acept,not furnished,1707
Rio de Janeiro,79,2,2,1,4,acept,not furnished,2584
São Paulo,100,3,1,0,-,acept,furnished,3554
São Paulo,45,1,1,1,10,not acept,furnished,3600
Porto Alegre,65,3,1,1,1,acept,not furnished,1294
Campinas,30,1,1,0,5,not acept,furnished,897
São Paulo,79,2,1,2,8,acept,not furnished,7035
Porto Alegre,79,2,2,1,2,acept,furnished,3627
São Paulo,380,3,4,4,-,acept,not furnished,9073
São Paulo,500,4,6,3,-,acept,not furnished,16070
Porto Alegre,40,1,1,0,5,acept,not furnished,989
Porto Alegre,67,2,1,0,3,acept,not furnished,1926
Campinas,60,3,1,1,5,not acept,not furnished,2473
São Paulo,125,3,2,2,-,acept,furnished,3196
Belo Horizonte,217,4,3,4,12,acept,not furnished,9901
São Paulo,75,3,2,1,16,acept,not furnished,2229
Rio de Janeiro,250,7,3,0,-,acept,not furnished,15230
Rio de Janeiro,72,2,1,1,7,acept,not furnished,2686
São Paulo,300,4,3,4,9,acept,not furnished,17590
São Paulo,82,3,2,2,2,acept,not furnished,3513
São Paulo,150,3,3,1,3,not acept,not furnished,7271
São Paulo,18,1,1,0,8,acept,not furnished,1575
Rio de Janeiro,230,3,4,3,10,acept,not furnished,5595
São Paulo,50,2,1,1,1,acept,not furnished,1712
São Paulo,290,3,4,3,7,acept,furnished,14620
São Paulo,45,2,1,0,3,not acept,not furnished,1801
Campinas,69,3,2,2,11,acept,not furnished,2750
São Paulo,52,2,2,1,2,acept,furnished,2214
São Paulo,58,3,1,1,1,acept,furnished,3313
São Paulo,118,3,3,2,6,acept,not furnished,5279
Campinas,80,3,1,0,6,acept,not furnished,1543
São Paulo,40,1,1,1,10,acept,furnished,3840
São Paulo,145,3,2,2,6,acept,not furnished,5419
